;total_ips_origem;total_ips_destino;total_pacotes;has_bot
1358;3;3;7;1
1359;3;3;18;0
1360;5;5;12;1
1361;1;1;1;0
1362;4;4;8;1
1363;2;2;3;0
1364;4;4;10;1
1365;2;2;8;1
1366;5;5;9;1
1367;1;1;2;0
1368;3;3;4;0
1369;0;0;0;0
1370;4;4;13;1
1371;1;1;2;0
1372;2;2;2;0
1373;4;4;8;1
1374;2;2;3;1
1375;1;1;1;0
1376;3;3;5;0
1377;1;1;2;0
1378;1;1;1;0
1379;3;3;10;1
1380;1;1;1;0
1381;5;5;89;0
1382;2;2;4;0
1383;4;4;14;1
1384;4;4;14;0
1385;5;5;42;0
1386;3;3;5;0
1387;2;2;12;0
1388;2;2;5;0
1389;4;4;26;1
1390;6;6;18;1
1391;2;2;4;0
1392;3;3;5;0
1393;0;0;0;0
1394;3;3;5;1
1395;2;2;12;1
1396;3;3;5;0
1397;6;6;40;0
1398;5;6;15;0
1399;3;5;14;0
1400;3;3;4;0
1401;4;4;8;1
1402;4;4;6;0
1403;1;1;1;0
1404;1;1;1;0
1405;1;1;1;0
1406;5;5;16;0
1407;0;0;0;0
1408;2;2;5;0
1409;0;0;0;0
1410;3;3;7;1
1411;3;3;7;0
1412;1;1;1;0
1413;0;0;0;0
1414;4;4;8;1
1415;0;0;0;0
1416;3;3;5;0
1417;12;12;310;0
1418;6;7;94;0
1419;12;12;799;0
1420;16;13;753;1
1421;6;4;40;0
1422;11;9;80;0
1423;3;3;12;0
1424;3;3;7;0
1425;4;4;12;1
1426;9;7;31;1
1427;6;6;16;1
1428;3;3;9;0
1429;2;2;4;1
1430;9;9;105;1
1431;2;2;4;0
1432;7;7;18;0
1433;1;1;4;0
1434;4;3;6;0
1435;2;2;4;0
1436;5;5;11;1
1437;5;5;16;0
1438;3;3;5;1
1439;0;0;0;0
1440;8;8;73;0
1441;1;1;3;0
1442;7;7;15;0
1443;1;2;2;0
1444;2;4;7;0
1445;4;5;10;1
1446;5;5;10;0
1447;4;5;11;0
1448;5;5;12;0
1449;1;1;1;0
1450;5;5;28;0
1451;5;5;19;1
1452;6;6;14;0
1453;1;1;1;0
1454;1;1;1;0
1455;0;0;0;0
1456;10;10;65;0
1457;10;10;32;1
1458;10;10;389;1
1459;9;9;761;0
1460;11;11;600;1
1461;10;10;145;1
1462;15;14;389;1
1463;16;16;761;1
1464;6;6;76;1
1465;3;2;10;0
1466;4;4;15;1
1467;8;8;36;1
1468;3;3;5;0
1469;3;2;11;0
1470;8;8;134;0
1471;0;0;0;0
1472;4;4;13;0
1473;6;6;28;0
1474;1;1;1;0
1475;5;5;10;1
1476;3;3;11;0
1477;7;6;34;0
1478;9;9;97;0
1479;4;4;27;0
1480;5;5;29;0
1481;1;1;1;0
1482;6;6;20;0
1483;5;5;24;0
1484;4;4;15;1
1485;0;0;0;0
1486;1;1;1;0
1487;4;4;10;0
1488;3;3;8;0
1489;2;2;12;1
1490;7;6;31;1
1491;1;1;2;0
1492;4;4;18;0
1493;5;5;14;1
1494;4;4;35;1
1495;2;2;4;0
1496;3;3;13;1
1497;5;5;14;0
1498;4;5;24;0
1499;5;5;18;1
1500;6;6;29;1
1501;6;6;16;1
1502;3;3;17;1
1503;1;1;4;0
1504;5;5;9;1
1505;0;0;0;0
1506;3;3;13;1
1507;4;5;20;1
1508;5;5;10;1
1509;1;1;4;0
1510;4;4;25;0
1511;5;5;11;1
1512;2;2;2;0
1513;3;3;20;0
1514;3;3;5;0
1515;2;2;4;1
1516;1;1;1;0
1517;3;3;7;0
1518;5;5;13;1
1519;3;3;16;0
1520;7;7;41;0
1521;7;7;58;1
1522;7;7;39;0
1523;4;4;16;1
1524;7;7;13;1
1525;2;2;4;1
1526;2;2;4;0
1527;4;4;8;1
1528;3;3;5;0
1529;6;9;93;0
1530;6;6;37;1
1531;4;4;8;0
1532;2;2;5;0
1533;3;3;7;0
1534;5;5;15;0
1535;3;3;42;0
1536;11;11;84;1
1537;6;6;32;1
1538;5;5;11;1
1539;0;0;0;0
1540;5;5;39;1
1541;4;4;12;1
1542;5;5;10;0
1543;2;2;4;1
1544;4;4;43;0
1545;5;5;33;1
1546;3;3;19;0
1547;2;2;4;0
1548;7;7;124;1
1549;3;3;363;0
1550;1;1;1;0
1551;3;3;28;0
1552;7;7;22;1
1553;0;0;0;0
1554;2;2;4;0
1555;2;2;4;1
1556;3;3;17;1
1557;4;4;32;1
1558;3;3;5;1
1559;2;2;12;1
1560;3;3;7;0
1561;2;2;4;1
1562;5;5;25;1
1563;1;1;2;1
1564;4;4;8;1
1565;0;0;0;0
1566;3;3;7;1
1567;4;4;8;1
1568;1;1;1;0
1569;0;0;0;0
1570;5;5;13;1
1571;1;1;4;0
1572;10;10;44;1
1573;4;4;17;1
1574;4;4;6;1
1575;2;2;4;1
1576;5;5;25;1
1577;8;8;24;0
1578;6;6;29;1
1579;4;4;22;0
1580;6;6;39;0
1581;2;2;6;0
1582;2;2;2;0
1583;5;5;27;1
1584;3;3;23;1
1585;4;7;24;0
1586;8;9;184;1
1587;18;18;469;1
1588;13;13;604;1
1589;6;6;50;1
1590;7;7;61;0
1591;4;4;16;0
1592;8;8;38;1
1593;5;5;34;0
1594;1;1;1;0
1595;0;0;0;0
1596;3;3;9;1
1597;2;2;4;0
1598;7;7;31;1
1599;3;3;14;0
1600;3;3;13;1
1601;4;4;14;1
1602;3;3;5;0
1603;8;8;74;1
1604;3;3;5;1
1605;1;1;2;0
1606;4;5;13;1
1607;5;5;14;0
1608;5;5;53;0
1609;2;2;8;1
1610;1;1;1;0
1611;2;2;20;1
1612;3;3;5;0
1613;2;2;4;0
1614;4;4;7;1
1615;0;0;0;0
1616;1;1;1;0
1617;5;5;12;1
1618;5;5;29;0
1619;0;0;0;0
1620;1;1;1;0
1621;0;0;0;0
1622;2;2;4;0
1623;2;2;24;1
1624;1;1;1;0
1625;0;0;0;0
1626;2;2;5;0
1627;5;5;24;1
1628;5;5;13;1
1629;0;0;0;0
1630;5;5;12;1
1631;6;6;29;1
1632;5;5;24;0
1633;5;5;18;1
1634;3;3;11;0
1635;4;4;8;1
1636;4;4;25;1
1637;1;1;2;0
1638;5;4;23;0
1639;0;0;0;0
1640;3;3;25;1
1641;3;3;15;1
1642;4;4;8;1
1643;1;1;1;0
1644;3;3;7;0
1645;3;3;12;0
1646;8;8;47;0
1647;2;2;8;1
1648;16;16;589;1
1649;11;10;559;0
1650;17;17;505;0
1651;8;7;258;1
1652;3;3;9;1
1653;0;0;0;0
1654;7;7;37;1
1655;13;11;585;1
1656;6;6;13;1
1657;7;7;72;1
1658;8;8;25;1
1659;1;1;3;0
1660;10;10;71;1
1661;2;2;10;0
1662;3;3;4;0
1663;3;3;6;1
1664;4;4;39;1
1665;6;6;34;1
1666;5;5;25;1
1667;3;3;16;0
1668;6;6;15;1
1669;1;1;3;0
1670;6;6;15;1
1671;2;2;12;1
1672;4;4;14;1
1673;0;0;0;0
1674;4;4;37;1
1675;6;6;38;1
1676;3;3;21;1
1677;2;2;14;1
1678;5;5;12;0
1679;2;2;12;1
1680;6;6;13;1
1681;3;3;21;1
1682;3;3;33;1
1683;3;3;30;1
1684;3;3;31;1
1685;11;11;290;1
1686;5;5;50;1
1687;2;2;20;1
1688;7;7;32;1
1689;2;2;20;1
1690;8;8;33;1
1691;4;4;88;1
1692;5;5;26;1
1693;2;2;28;1
1694;3;3;21;1
1695;6;7;44;1
1696;6;6;39;1
1697;3;3;23;1
1698;7;7;38;1
1699;2;2;20;1
1700;6;6;29;1
1701;2;2;20;1
1702;5;5;26;1
1703;5;5;32;1
1704;7;7;49;1
1705;13;13;64;1
1706;5;5;31;1
1707;6;6;51;0
1708;9;9;63;0
1709;3;3;24;0
1710;12;12;110;1
1711;11;11;379;0
1712;11;10;209;1
1713;0;0;0;0
1714;6;5;25;1
1715;4;4;8;1
1716;8;8;55;0
1717;5;5;15;0
1718;6;5;33;1
1719;4;4;16;0
1720;9;9;37;1
1721;5;5;16;1
1722;4;4;26;1
1723;2;2;4;0
1724;1;1;1;0
1725;4;4;16;1
1726;7;7;22;0
1727;0;0;0;0
1728;3;3;5;0
1729;2;2;8;1
1730;5;5;13;0
1731;2;2;8;0
1732;4;4;6;1
1733;2;2;20;1
1734;5;5;27;1
1735;4;4;20;1
1736;6;6;12;1
1737;1;1;1;0
1738;5;20;45;1
1739;1;1;4;0
1740;4;4;9;0
1741;4;4;8;0
1742;3;3;5;1
1743;0;0;0;0
1744;1;1;1;0
1745;5;5;15;0
1746;1;1;1;0
1747;0;0;0;0
1748;2;2;5;0
1749;4;4;10;1
1750;6;6;13;1
1751;0;0;0;0
1752;4;4;12;1
1753;1;1;1;0
1754;1;1;1;0
1755;3;3;7;0
1756;3;3;13;1
1757;0;0;0;0
1758;4;4;17;1
1759;5;5;58;1
1760;7;7;77;1
1761;4;4;50;1
1762;4;4;6;1
1763;6;6;88;1
1764;3;3;25;0
1765;11;12;79;1
1766;9;9;45;1
1767;4;4;24;0
1768;6;6;39;1
1769;2;2;4;0
1770;3;3;25;1
1771;2;2;6;0
1772;1;1;1;0
1773;2;2;6;1
1774;4;4;24;1
1775;2;2;4;0
1776;3;3;7;1
1777;3;3;14;0
1778;1;1;1;0
1779;0;0;0;0
1780;1;1;1;0
1781;0;0;0;0
1782;2;2;2;0
1783;0;0;0;0
1784;2;2;4;0
1785;0;0;0;0
1786;2;2;5;0
1787;3;3;3;0
1788;4;5;27;1
1789;3;5;28;1
1790;5;5;863;1
1791;3;3;13;1
1792;4;4;5;1
1793;3;3;5;1
1794;4;4;12;1
1795;2;2;4;1
1796;6;6;17;1
1797;2;2;8;1
1798;3;3;21;1
1799;2;2;44;1
1800;1;1;1;0
1801;2;2;6;1
1802;3;3;4;1
1803;2;2;4;0
1804;2;2;2;0
1805;1;1;4;0
1806;1;1;1;0
1807;2;2;4;1
1808;3;3;13;1
1809;0;0;0;0
1810;1;1;1;0
1811;0;0;0;0
1812;3;3;3;0
1813;3;3;23;1
1814;2;2;5;0
1815;2;2;4;1
1816;3;3;11;1
1817;0;0;0;0
1818;1;1;1;0
1819;4;4;42;0
1820;8;8;46;1
1821;4;4;24;1
1822;6;6;35;0
1823;4;4;8;1
1824;2;2;5;0
1825;2;2;20;1
1826;3;3;5;1
1827;2;2;8;1
1828;1;1;1;0
1829;3;3;20;1
1830;3;3;5;1
1831;5;5;23;1
1832;6;6;10;1
1833;4;5;10;1
1834;13;16;170;1
1835;14;15;280;1
1836;13;12;509;1
1837;19;18;1159;1
1838;10;8;183;1
1839;6;5;25;1
1840;6;6;62;1
1841;7;7;45;0
1842;7;6;22;0
1843;3;3;20;1
1844;5;5;13;1
1845;5;5;40;1
1846;6;6;20;1
1847;8;8;95;0
1848;3;3;5;1
1849;1;1;1;0
1850;3;3;8;0
1851;2;2;22;1
1852;5;5;16;1
1853;4;4;9;1
1854;2;2;3;0
1855;5;4;18;0
1856;5;5;25;1
1857;7;7;56;0
1858;3;3;5;1
1859;2;2;5;0
1860;2;2;4;0
1861;0;0;0;0
1862;4;4;11;1
1863;2;2;16;1
1864;3;3;5;1
1865;6;6;18;0
1866;3;3;9;0
1867;9;9;44;1
1868;3;3;17;1
1869;2;2;4;1
1870;4;4;16;1
1871;1;1;4;0
1872;2;2;2;0
1873;2;2;4;1
1874;1;1;1;0
1875;4;4;16;0
1876;5;5;21;1
1877;8;8;26;0
1878;2;3;3;0
1879;7;11;153;0
1880;16;17;631;0
1881;22;21;909;1
1882;7;7;39;0
1883;6;5;35;0
1884;1;1;1;0
1885;7;8;54;0
1886;9;9;61;1
1887;12;11;79;0
1888;3;3;5;1
1889;5;4;62;0
1890;3;3;5;0
1891;6;6;16;0
1892;3;3;19;0
1893;4;4;30;1
1894;8;8;42;0
1895;11;11;58;1
1896;13;13;103;1
1897;8;8;32;1
1898;5;5;10;1
1899;4;4;9;0
1900;3;3;13;1
1901;10;10;42;1
1902;5;5;38;0
1903;2;2;4;1
1904;5;5;9;1
1905;5;5;17;1
1906;5;5;21;1
1907;8;9;30;0
1908;4;4;8;1
1909;5;5;20;1
1910;4;4;8;1
1911;7;7;36;0
1912;3;3;4;0
1913;2;2;3;0
1914;3;3;5;0
1915;5;5;20;1
1916;4;4;10;0
1917;9;9;31;0
1918;3;3;11;1
1919;2;2;6;1
1920;1;1;1;0
1921;9;9;32;1
1922;8;8;404;1
1923;1;2;2;0
1924;6;8;15;1
1925;6;7;18;1
1926;5;5;26;1
1927;12;12;64;1
1928;5;5;14;1
1929;0;0;0;0
1930;3;3;7;1
1931;6;6;17;0
1932;7;7;29;1
1933;2;2;4;1
1934;3;3;5;0
1935;4;4;18;1
1936;3;3;6;1
1937;10;10;42;1
1938;7;7;19;1
1939;14;14;73;1
1940;9;12;51;0
1941;5;6;20;0
1942;7;7;42;1
1943;0;0;0;0
1944;4;4;13;1
1945;3;2;10;0
1946;6;6;16;1
1947;9;9;35;1
1948;3;3;7;0
1949;2;2;4;1
1950;3;3;13;0
1951;11;11;97;1
1952;12;13;76;0
1953;8;8;50;0
1954;4;4;13;0
1955;6;6;12;1
1956;5;5;17;1
1957;5;5;44;1
1958;9;9;116;1
1959;7;7;243;1
1960;14;14;255;1
1961;21;20;930;1
1962;11;10;384;0
1963;4;3;28;0
1964;4;4;54;0
1965;5;5;43;0
1966;5;4;12;0
1967;5;4;31;0
1968;2;2;2;0
1969;2;2;4;0
1970;1;1;1;0
1971;8;8;54;0
1972;4;4;10;0
1973;0;0;0;0
1974;2;2;5;0
1975;5;5;11;1
1976;1;1;1;0
1977;1;1;4;0
1978;3;3;5;1
1979;8;8;97;1
1980;5;5;9;1
1981;11;11;68;1
1982;3;3;9;0
1983;2;2;4;1
1984;2;2;4;0
1985;2;2;4;0
1986;2;2;5;0
1987;2;2;6;1
1988;1;1;1;0
1989;4;4;8;0
1990;3;3;13;0
1991;8;9;26;1
1992;5;4;12;0
1993;1;1;3;0
1994;1;1;1;0
1995;2;2;4;0
1996;5;5;25;0
1997;5;5;36;0
1998;17;17;222;0
1999;17;18;1254;0
2000;23;24;2056;0
2001;23;24;1069;0
2002;41;40;1704;0
2003;16;17;330;0
2004;2;2;5;0
2005;4;4;16;0
2006;4;4;17;0
2007;0;0;0;0
2008;7;7;45;0
2009;6;6;12;0
2010;10;10;43;0
2011;14;15;86;1
2012;18;22;111;1
2013;17;12;71;0
2014;7;7;13;1
2015;3;3;34;1
2016;7;7;39;1
2017;8;8;31;1
2018;6;6;17;0
2019;11;12;46;1
2020;15;14;69;1
2021;13;13;54;1
2022;11;11;56;0
2023;17;19;97;1
