;time;IPO_entropy;IPO_complexity;IPO_fisher_shanon;IPO_edge_entropy;IPO_edge_complexity;IPO_edge_fisher_shannon;IPO_number_nodes;IPO_self_transition;IPD_entropy;IPD_complexity;IPD_fisher_shanon;IPD_edge_entropy;IPD_edge_complexity;IPD_edge_fisher_shannon;IPD_number_nodes;IPD_self_transition;TP_entropy;TP_complexity;TP_fisher_shanon;TP_edge_entropy;TP_edge_complexity;TP_edge_fisher_shannon;TP_number_nodes;TP_self_transition
291;[244, 292];0.9828953293208786;0.016769343668210125;0.020291251455998124;0.96929346595908;0.032098294201678645;0.021230629976529643;17.0;0.08888888888888889;0.9615774652353065;0.03650934816770867;0.04590301200206805;0.8441150748420817;0.1587359356990499;0.1865067816384816;16.0;0.022222222222222223;0.961794704522948;0.03870144566592744;0.03611118330801966;0.7787859454862932;0.18604627744214663;0.18474399567347916;17.0;0.13333333333333333
292;[245, 293];0.9875059965403264;0.012405372984442633;0.012732932695020476;0.96929346595908;0.032098294201678645;0.021230629976529643;17.0;0.08888888888888889;0.9615774652353065;0.03650934816770867;0.04590301200206805;0.7815371428367515;0.1896660058641103;0.23959698817929925;16.0;0.022222222222222223;0.9739456119148281;0.02586719124284253;0.02020463217493967;0.8145523430652634;0.17231900802393277;0.15957706718162945;17.0;0.1111111111111111
293;[246, 294];0.9846345362470809;0.015027985796928727;0.016948953790291262;0.9566504715755689;0.04270672693661957;0.038429397798721454;17.0;0.08888888888888889;0.9685079564339838;0.030537422326874838;0.03393731649358638;0.9546444483376652;0.043298804452513315;0.04112991160918996;16.0;0.022222222222222223;0.9739456119148281;0.02586719124284253;0.02020463217493967;0.9151375424972878;0.07810698566609281;0.03541750273782884;17.0;0.08888888888888889
294;[247, 295];0.9828953293208786;0.016769343668210125;0.017668782479347653;0.9566504715755689;0.04270672693661957;0.038429397798721454;17.0;0.08888888888888889;0.9615774652353065;0.03650934816770844;0.04364440408227671;0.9755037590061086;0.021956753810735745;0.012255205375272145;16.0;0.022222222222222223;0.9739456119148281;0.02586719124284253;0.02020463217493967;0.8145523430652634;0.17231900802393277;0.15957706718162945;17.0;0.1111111111111111
295;[248, 296];0.9828953293208786;0.016769343668210125;0.017668782479347653;0.8729584129369051;0.13850724725576827;0.14813887549804208;17.0;0.08888888888888889;0.9674034466976317;0.03136987008946634;0.039420385296725265;0.9546444483376649;0.04329880445251284;0.01842725123806265;16.0;0.022222222222222223;0.9673033373903484;0.032224767363485174;0.02847356458410599;0.90507009727763;0.07881904030269894;0.041445654832610035;17.0;0.13333333333333333
296;[249, 297];0.9842462102656001;0.0155831811106515;0.01898668025840305;0.8408467285961803;0.16157707177695182;0.1838239541920476;17.0;0.06666666666666667;0.954037225062874;0.04498184886267195;0.05337185042722561;0.93102562070795;0.060196592948233346;0.030250626961323253;16.0;0.022222222222222223;0.9713901119264712;0.028725351382218763;0.03258691732238251;0.7787859454862934;0.1860462774421467;0.14417256670006054;17.0;0.13333333333333333
297;[250, 298];0.9895376038453584;0.010198490045190712;0.01245525524453144;0.8534897229796914;0.15416855380450745;0.15598306414370755;17.0;0.06666666666666667;0.968507956433984;0.030537422326874845;0.03721831611872033;0.9101663100395065;0.07964323437575184;0.08344127926964712;16.0;0.022222222222222223;0.9580238902917136;0.04243418922227381;0.04654698511912294;0.8023964535051947;0.1763951939236088;0.13858173372407817;16.0;0.13333333333333333
298;[251, 299];0.9895376038453584;0.010198490045190712;0.01245525524453144;0.7308602844265996;0.23794825093341102;0.32859547920896826;17.0;0.06666666666666667;0.9685079564339838;0.030537422326874838;0.03393731649358638;0.8576611402529865;0.11555460239032696;0.1039111531779765;16.0;0.022222222222222223;0.9673033373903484;0.032224767363485174;0.02847356458410599;0.93102562070795;0.060196592948233346;0.030250626961323253;16.0;0.13333333333333333
299;[252, 300];0.9941482710648063;0.005773492445899315;0.008272309475404123;0.7308602844265996;0.23794825093341063;0.33811978464829934;17.0;0.06666666666666667;0.968507956433984;0.03053742232687461;0.040080635274459944;0.8576611402529865;0.11555460239032696;0.12557010838091975;16.0;0.022222222222222223;0.9713901119264712;0.028725351382218763;0.03258691732238251;0.90507009727763;0.07881904030269894;0.041445654832610035;17.0;0.11111111111111112
300;[253, 301];0.9941482710648063;0.005773492445899315;0.006760887665575909;0.7308602844265996;0.23794825093341102;0.32859547920896826;17.0;0.06666666666666667;0.9743339378963091;0.025322033741244865;0.027367731294309604;0.8576611402529865;0.11555460239032696;0.12557010838091975;16.0;0.022222222222222223;0.9713901119264712;0.028725351382218763;0.03556813733616281;0.9540749224117155;0.03951020301936169;0.022514822655441375;17.0;0.11111111111111112
301;[254, 302];0.9908884847900797;0.008995042024668788;0.010301122098772549;0.8314454838586239;0.16576716623440682;0.25895839777821983;17.0;0.06666666666666667;0.9788085547847558;0.020362945961636257;0.02791223268894802;0.9346062324545015;0.05923630142030885;0.04374545263197102;17.0;0.022222222222222223;0.9701747976835935;0.02970078604485885;0.03645949819479766;0.9540749224117155;0.03951020301936169;0.022514822655441375;17.0;0.11111111111111112
302;[255, 303];0.9908884847900797;0.008995042024668788;0.010301122098772549;0.956650471575569;0.04270672693661934;0.03838791750191063;17.0;0.06666666666666667;0.9788085547847558;0.020362945961636257;0.02791223268894802;0.9566504715755689;0.04270672693661933;0.03266882166011696;17.0;0.022222222222222223;0.9780323864509513;0.022315310072262822;0.026998216772735173;0.9540749224117155;0.03951020301936169;0.022514822655441375;17.0;0.11111111111111112
303;[256, 304];0.9908884847900797;0.008995042024668788;0.010301122098772549;0.9151375424972876;0.0781069856660928;0.0639604774880514;17.0;0.06666666666666667;0.9828953293208786;0.016769343668210125;0.023632255748178684;0.8856014073204163;0.13030509801016818;0.11719876782219181;17.0;0.022222222222222223;0.9751609261577058;0.0248828979331118;0.023215198918946255;0.8314454838586239;0.16576716623440765;0.1842208899090873;17.0;0.11111111111111112
304;[257, 305];0.9941482710648063;0.005773492445899315;0.006538961607448145;0.8156631257730546;0.17358160031193096;0.23998412263472582;18.0;0.06666666666666667;0.9842462102656;0.015583181110651498;0.019424042352211655;0.96929346595908;0.032098294201678645;0.021230629976529643;17.0;0.044444444444444446;0.9842462102656;0.015583181110651257;0.014861793006032926;0.8204962472123667;0.17013020891482739;0.2506639439346736;16.0;0.08888888888888889
305;[258, 306];0.9941482710648063;0.005773492445899315;0.006538961607448145;0.7855584217036248;0.19257706726819782;0.2531568910760513;18.0;0.06666666666666667;0.9842462102656;0.015583181110651498;0.019424042352211655;0.9440074771920581;0.05302369343549271;0.04477152501692065;17.0;0.044444444444444446;0.9857667896141238;0.014156591822020581;0.018313544237698973;0.9101663100395065;0.0796432343757516;0.04938985499211772;16.0;0.08888888888888889
306;[259, 307];0.9908884847900797;0.008995042024668788;0.010301122098772549;0.9282136470754652;0.06591012330472461;0.07455401316467095;18.0;0.06666666666666667;0.9796355430461523;0.01991740836591886;0.029186149620445433;0.9440074771920581;0.05302369343549271;0.04477152501692065;17.0;0.044444444444444446;0.9857667896141238;0.014156591822020581;0.018313544237698973;0.9101663100395065;0.0796432343757516;0.06164506036738984;16.0;0.08888888888888889
307;[260, 308];0.9924090641386039;0.007548406613879287;0.007976545235303011;0.9789848253208955;0.020031194717033057;0.01388019577941448;18.0;0.06666666666666667;0.9796355430461524;0.01991740836591886;0.026957833621864984;0.9440074771920581;0.05302369343549271;0.04477152501692065;17.0;0.044444444444444446;0.9816800150780008;0.017771975960086072;0.01854848758279905;0.9101663100395065;0.0796432343757516;0.04938985499211772;16.0;0.08888888888888889
308;[261, 309];0.9924090641386036;0.0075484066138795285;0.008296515360551485;0.9789848253208955;0.020031194717033057;0.01388019577941448;18.0;0.08888888888888889;0.9784202288032747;0.02091266802966534;0.024398912561218875;0.9245387872348441;0.07224132745313476;0.044813005313731474;17.0;0.06666666666666667;0.9849398013527272;0.014609963076501918;0.014878412092539962;0.9473312030801263;0.053342799236519675;0.038278456061588945;16.0;0.08888888888888889
309;[262, 310];0.9924090641386036;0.0075484066138795285;0.008296515360551485;0.9908376325554372;0.00919559653943412;0.00631378215210273;18.0;0.1111111111111111;0.9796355430461524;0.01991740836591886;0.026204929606665133;0.9245387872348441;0.07224132745313476;0.044813005313731474;17.0;0.06666666666666667;0.9875059965403264;0.012405372984442633;0.012832980382664498;0.9681905137485697;0.0323963030603238;0.009735478203123343;16.0;0.08888888888888889
310;[263, 311];0.9941482710648061;0.005773492445899314;0.004395520118612012;0.9789848253208955;0.020031194717033057;0.017037086855465844;18.0;0.1111111111111111;0.9862778175706323;0.0133902961954603;0.018699052047544126;0.8830258581565625;0.10494387467497766;0.07304290965293327;17.0;0.06666666666666667;0.9857667896141238;0.014156591822020581;0.012020448572395958;0.9546444483376652;0.043298804452513315;0.04801393426471231;16.0;0.08888888888888889
311;[264, 312];0.9941482710648061;0.005773492445899314;0.004395520118612012;0.9789848253208955;0.020031194717033057;0.017037086855465844;18.0;0.08888888888888889;0.9895376038453584;0.010198490045190712;0.014034279283971874;0.7824406587245383;0.19173420663777446;0.13035855659625561;17.0;0.08888888888888889;0.9857667896141238;0.014156591822020581;0.012020448572395958;0.9546444483376652;0.043298804452513315;0.05770496929268121;16.0;0.08888888888888889
312;[265, 313];0.9974080573395324;0.00253062205312422;0.0017267672447466413;0.9789848253208955;0.020031194717033057;0.017037086855465844;18.0;0.08888888888888889;0.9875059965403264;0.012405372984442633;0.014784169023510055;0.8785204509214299;0.13468333864757598;0.08481636832233648;16.0;0.08888888888888889;0.9780323864509509;0.022315310072262815;0.01876044759962621;0.9681905137485697;0.0323963030603238;0.009735478203123343;16.0;0.11111111111111112
313;[266, 314];0.99566885041333;0.004317087184805844;0.005580391179982418;0.9789848253208955;0.020031194717033057;0.011714322282044436;18.0;0.08888888888888889;0.9828953293208786;0.016769343668210125;0.024546276291743833;0.8785204509214299;0.13468333864757598;0.08481636832233648;16.0;0.08888888888888889;0.9842462102656;0.015583181110651257;0.01160243438002678;0.9546444483376652;0.043298804452513315;0.04112991160918996;16.0;0.11111111111111112
314;[267, 315];0.9924090641386036;0.0075484066138795285;0.008296515360551485;0.9607329284860074;0.03998276446058072;0.04961749388719514;18.0;0.08888888888888889;0.9857667896141238;0.014156591822020581;0.018974017965206626;0.8785204509214299;0.13468333864757598;0.08481636832233648;16.0;0.08888888888888889;0.9875059965403264;0.012405372984442633;0.01183165776627078;0.9546444483376652;0.043298804452513315;0.04801393426471231;16.0;0.11111111111111112
315;[268, 316];0.9924090641386036;0.0075484066138795285;0.010029863228507461;0.9607329284860074;0.03998276446058072;0.04961749388719514;18.0;0.08888888888888889;0.9842462102656;0.015583181110651257;0.022867440892241794;0.8785204509214299;0.13468333864757598;0.08481636832233648;16.0;0.08888888888888889;0.9875059965403262;0.012405372984442147;0.009741947844651596;0.9890498244170134;0.010496626898348557;0.007215751030974559;16.0;0.08888888888888889
316;[269, 317];0.99566885041333;0.004317087184805844;0.005580391179982418;0.9607329284860074;0.03998276446058072;0.04961749388719514;18.0;0.08888888888888889;0.9895376038453584;0.010198490045190712;0.014034279283971874;0.8856014073204163;0.13030509801016818;0.11719876782219181;17.0;0.08888888888888889;0.9849398013527273;0.014609963076501678;0.008591708768888772;0.9546444483376652;0.043298804452513315;0.04801393426471231;16.0;0.1111111111111111
317;[270, 318];0.9956688504133301;0.004317087184806331;0.004167013437274914;0.9789848253208955;0.020031194717033057;0.011714322282044436;18.0;0.08888888888888889;0.9910581831938823;0.00875571073410854;0.010204861233883459;0.8729584129369051;0.13850724725576719;0.10337446737491165;17.0;0.08888888888888889;0.97800931015405;0.02080339247148165;0.012010043407555302;0.9546444483376652;0.043298804452513315;0.04801393426471231;16.0;0.13333333333333333
318;[271, 319];0.99566885041333;0.004317087184806331;0.004167013437274914;0.9099617502405772;0.08386502482452259;0.07202032244402629;18.0;0.08888888888888889;0.9927973901200849;0.00698536308091575;0.00674703754374915;0.8729584129369051;0.13850724725576719;0.10337446737491165;17.0;0.08888888888888889;0.97800931015405;0.02080339247148165;0.012010043407555302;0.8757609339601583;0.10705928250739702;0.09839875036625254;16.0;0.15555555555555556
319;[272, 320];0.9974080573395325;0.0025306220531239763;0.002452211873099565;0.9099617502405772;0.08386502482452259;0.07670977217199336;18.0;0.08888888888888889;0.9945365970462872;0.005208758915529954;0.0036254388600756317;0.8729584129369051;0.13850724725576719;0.10337446737491165;17.0;0.08888888888888889;0.97800931015405;0.02080339247148165;0.012010043407555302;0.9546444483376649;0.04329880445251284;0.030682456613334796;16.0;0.15555555555555556
320;[273, 321];0.9974080573395324;0.00253062205312422;0.0014081370677778576;0.9789848253208955;0.020031194717033057;0.017037086855465844;18.0;0.08888888888888889;0.9945365970462872;0.005208758915530198;0.0032627165458991698;0.8314454838586239;0.16576716623440765;0.13776924809850102;17.0;0.08888888888888889;0.97800931015405;0.02080339247148165;0.012010043407555302;0.9890498244170134;0.010496626898348557;0.007215751030974559;16.0;0.13333333333333333
321;[274, 322];0.9974080573395324;0.00253062205312422;0.0006826924394249337;0.9789848253208955;0.020031194717033057;0.023350869007568574;18.0;0.08888888888888889;0.991276810771561;0.008433436843506815;0.007305188608337705;0.8729584129369051;0.13850724725576719;0.10337446737491165;17.0;0.1111111111111111;0.97800931015405;0.02080339247148165;0.012010043407555302;0.9755037590061086;0.021956753810735745;0.012255205375272145;16.0;0.15555555555555556
322;[275, 323];0.9989286366880563;0.0010644469417272688;0.001088166942529386;0.9400664543100068;0.05624129096313678;0.041011361842472824;18.0;0.08888888888888889;0.991276810771561;0.008433436843506815;0.005101400101081574;0.8729584129369051;0.13850724725576719;0.10337446737491165;17.0;0.1111111111111111;0.97800931015405;0.02080339247148165;0.012010043407555302;0.920239072258317;0.07371028253262968;0.054097093777193926;16.0;0.15555555555555556
323;[276, 324];0.9989286366880563;0.0010644469417277573;0.001088166942529386;0.9099617502405772;0.08386502482452259;0.07202032244402629;18.0;0.08888888888888889;0.9854508293092354;0.013844557527929666;0.008604906214140945;0.8314454838586239;0.16576716623440765;0.13776924809850102;17.0;0.1111111111111111;0.97800931015405;0.02080339247148165;0.012010043407555302;0.8757609339601583;0.10705928250739702;0.09839875036625254;16.0;0.15555555555555556
324;[277, 325];0.9956688504133301;0.004317087184806331;0.0043395619633941306;0.8019093486817523;0.17888781461463432;0.25288384651619733;17.0;0.08888888888888889;0.9854508293092354;0.013844557527929666;0.008604906214140945;0.8314454838586239;0.16576716623440765;0.13776924809850102;17.0;0.1111111111111111;0.9817801243852846;0.0169028017095929;0.010096158360635446;0.9546444483376649;0.04329880445251284;0.024554853925698734;16.0;0.15555555555555556
325;[278, 326];0.9941482710648063;0.005773492445899315;0.007749004315679734;0.8661327173632023;0.11348422351612474;0.07074712601160554;17.0;0.08888888888888889;0.9895376038453584;0.010198490045190712;0.008117663097528663;0.8314454838586239;0.16576716623440765;0.13776924809850102;17.0;0.1111111111111111;0.97800931015405;0.02080339247148189;0.01603928361088973;0.8880073419014397;0.12874096517561792;0.08469388572566491;15.0;0.15555555555555556
326;[279, 327];0.9941482710648063;0.005773492445899315;0.006704929510358027;0.9151375424972876;0.0781069856660928;0.06777671124752374;17.0;0.08888888888888889;0.991276810771561;0.008433436843506815;0.005101400101081574;0.8019093486817523;0.17888781461463432;0.25288384651619733;17.0;0.1111111111111111;0.9680349681920687;0.02976192670921051;0.023279613950448953;0.8880073419014397;0.12874096517561792;0.11927001978590938;15.0;0.15555555555555556
327;[280, 328];0.9956688504133301;0.004317087184806331;0.002563461906510164;0.9566504715755689;0.042706726936618866;0.018214372942641072;17.0;0.08888888888888889;0.991276810771561;0.008433436843506815;0.007305188608337705;0.9151375424972876;0.0781069856660928;0.06777671124752374;17.0;0.1111111111111111;0.9718057824233031;0.02593750156237027;0.017631064211104344;0.8880073419014397;0.12874096517561792;0.11927001978590938;15.0;0.15555555555555556
328;[281, 329];0.9941482710648063;0.005773492445899315;0.006704929510358027;0.8856014073204163;0.09657933898699346;0.06839538065093334;17.0;0.08888888888888889;0.991276810771561;0.008433436843506815;0.005101400101081574;0.9488801212514659;0.05009849909615667;0.03598867265804121;18.0;0.1111111111111111;0.9718057824233033;0.025937501562370277;0.015641401977129182;0.8880073419014397;0.12874096517561792;0.11927001978590938;15.0;0.15555555555555556
329;[282, 330];0.9941482710648063;0.005773492445899072;0.005298132390859857;0.8856014073204163;0.09657933898699346;0.06839538065093334;17.0;0.08888888888888889;0.9945365970462872;0.005208758915530198;0.0032627165458991698;0.9488801212514659;0.05009849909615667;0.03598867265804121;18.0;0.1111111111111111;0.9817801243852846;0.0169028017095929;0.010096158360635446;0.8880073419014397;0.12874096517561792;0.08469388572566491;15.0;0.15555555555555556
330;[283, 331];0.9903774568335717;0.00976725328441819;0.007666025461674724;0.9151375424972876;0.0781069856660928;0.053280782233237026;17.0;0.06666666666666667;0.9945365970462872;0.005208758915530198;0.0032627165458991698;0.9099617502405772;0.08386502482452259;0.06024944670041271;18.0;0.1111111111111111;0.9817801243852846;0.0169028017095929;0.010096158360635446;0.9699870314266159;0.030004308271133782;0.01825516994441313;15.0;0.15555555555555556
331;[284, 332];0.9812921727256775;0.019180588996729833;0.01397521809163542;0.8498350097414461;0.11591513554382732;0.09600234177082095;17.0;0.06666666666666667;0.9974080573395325;0.0025306220531242205;0.002452211873099565;0.9099617502405772;0.08386502482452303;0.012503695294149558;18.0;0.1111111111111111;0.9817801243852846;0.0169028017095929;0.010096158360635446;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.15555555555555556
332;[285, 333];0.982643053670399;0.0179997530783446;0.012873550398458429;0.7182172900430885;0.20899130617146996;0.32694972581832327;17.0;0.06666666666666667;0.9958874779910087;0.003992321765726094;0.0027280898611403586;0.8941244307468018;0.09303329449446315;0.0381934339336714;18.0;0.1111111111111111;0.9869714086577593;0.012413483334262194;0.006549578760573961;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.15555555555555556
333;[286, 334];0.9780323864509511;0.0223153100722633;0.01598140232407823;0.743216002573569;0.20124359370427414;0.31458899194820356;16.0;0.044444444444444446;0.9912768107715608;0.008433436843507055;0.0073051886083377055;0.8830258581565628;0.10494387467497769;0.04419433591032189;17.0;0.13333333333333333;0.9887106155839619;0.010656995656582655;0.006871558346184969;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.15555555555555556
334;[287, 335];0.9713901119264713;0.028725351382218763;0.021725628345582518;0.8193399999898042;0.13340737728431165;0.10898725458494424;16.0;0.044444444444444446;0.9912768107715608;0.008433436843507055;0.005101400101081574;0.8509141738158379;0.150954974494615;0.23395301433902865;17.0;0.13333333333333333;0.9887106155839619;0.010656995656582655;0.006092161787919015;0.9546444483376653;0.043298804452513086;0.04725751429682604;16.0;0.15555555555555556
335;[288, 336];0.9713901119264713;0.028725351382218763;0.01739051269344427;0.7432160025735691;0.20124359370427453;0.24932467026993832;16.0;0.044444444444444446;0.9912768107715608;0.008433436843507055;0.0066128219109097865;0.7939849352773116;0.18123764129908979;0.26079425866145967;18.0;0.13333333333333333;0.9887106155839619;0.01065699565658314;0.008954480943658624;0.9151375424972876;0.0781069856660928;0.08634630423784286;17.0;0.15555555555555556
336;[289, 337];0.9713901119264713;0.028725351382218763;0.021725628345582518;0.9755037590061086;0.021956753810735745;0.012255205375272145;16.0;0.044444444444444446;0.9912768107715608;0.008433436843507055;0.005101400101081574;0.8220622153734009;0.13157161302850834;0.12055826175840782;18.0;0.13333333333333333;0.9887106155839619;0.010656995656582655;0.006092161787919015;0.9151375424972876;0.0781069856660928;0.11253753362739323;17.0;0.15555555555555556
337;[290, 338];0.9636557087632984;0.03664486376647308;0.025839384764306594;0.9755037590061086;0.021956753810735745;0.012255205375272145;16.0;0.044444444444444446;0.9912768107715608;0.008433436843507055;0.0073051886083377055;0.9123763275816898;0.07563039202841369;0.05875901700856841;18.0;0.13333333333333333;0.9945365970462874;0.0052087589155301985;0.0032627165458991698;0.8729584129369051;0.13850724725576805;0.1376819255318834;17.0;0.15555555555555556
338;[291, 339];0.9610895135756995;0.0387299420176737;0.02716724637720861;0.9546444483376649;0.04329880445251307;0.049057639432896344;16.0;0.044444444444444446;0.9945365970462874;0.0052087589155301985;0.0032627165458991698;0.9306282244165778;0.057455224443704545;0.033493649053890316;18.0;0.13333333333333333;0.9927973901200847;0.006985363080915263;0.0035536823428171556;0.8729584129369051;0.13850724725576719;0.08289130966522003;17.0;0.15555555555555556
339;[292, 340];0.9585233183881003;0.04080336445825039;0.028892709785868713;0.9755037590061086;0.021956753810735745;0.012255205375272145;16.0;0.044444444444444446;0.9927973901200847;0.006985363080915749;0.0056049186713067346;0.6769924126604479;0.24804441011317943;0.32322330470336313;18.0;0.13333333333333333;0.9927973901200847;0.006985363080915263;0.0035536823428171556;0.8729584129369051;0.13850724725576719;0.08386543448885847;17.0;0.13333333333333333
340;[293, 341];0.9585233183881003;0.04080336445825039;0.028892709785868713;0.9546444483376652;0.043298804452513315;0.04112991160918996;16.0;0.044444444444444446;0.9927973901200847;0.006985363080915749;0.0056049186713067346;0.6587405158255597;0.2552932157670635;0.35671695375725343;18.0;0.13333333333333333;0.9927973901200849;0.006985363080915264;0.0024115634703747403;0.8729584129369051;0.13850724725576719;0.08386543448885847;17.0;0.11111111111111112
341;[294, 342];0.9647371422027494;0.034330223710291555;0.027911216043748625;0.9546444483376652;0.043298804452513315;0.04112991160918996;16.0;0.044444444444444446;0.9927973901200847;0.006985363080915749;0.0056049186713067346;0.6587405158255597;0.2552932157670635;0.35671695375725343;18.0;0.13333333333333333;0.9869714086577593;0.012413483334262194;0.0033720219216825612;0.9337851376692214;0.06368767510851152;0.050533661436861096;16.0;0.11111111111111112
342;[295, 343];0.9636326324663973;0.03515481252363266;0.02712982708181735;0.9681905137485699;0.032396303060324046;0.025266830718430534;16.0;0.044444444444444446;0.9945365970462874;0.0052087589155301985;0.0032627165458991698;0.8457678298424841;0.15263918322465844;0.0880556302831988;18.0;0.13333333333333333;0.9869714086577593;0.012413483334262437;0.004988779418737202;0.9681905137485697;0.0323963030603238;0.009735478203123343;16.0;0.11111111111111112
343;[296, 344];0.9750377405535212;0.02423796083592117;0.01865237445991839;0.9546444483376649;0.04329880445251284;0.01229964855042659;16.0;0.044444444444444446;0.9945365970462874;0.0052087589155301985;0.0032627165458991698;0.8457678298424841;0.15263918322465844;0.0880556302831988;18.0;0.13333333333333333;0.9927973901200847;0.006985363080915263;0.0019928830009803967;0.9681905137485697;0.0323963030603238;0.009735478203123343;16.0;0.11111111111111112
344;[297, 345];0.9750377405535212;0.02423796083592117;0.01865237445991839;0.9329350879565486;0.06252685030320915;0.01984473210252902;15.0;0.044444444444444446;0.9945365970462874;0.0052087589155301985;0.0032627165458991698;0.8457678298424841;0.15263918322465844;0.13040054012994168;18.0;0.13333333333333333;0.9927973901200847;0.006985363080915263;0.0019928830009803967;0.9566504715755689;0.042706726936618866;0.018214372942641072;17.0;0.11111111111111112
345;[298, 346];0.9750377405535212;0.02423796083592117;0.01865237445991839;0.93102562070795;0.060196592948233346;0.030250626961323253;16.0;0.044444444444444446;0.9945365970462874;0.0052087589155301985;0.0032627165458991698;0.6769924126604479;0.24804441011317943;0.32322330470336313;18.0;0.13333333333333333;0.9927973901200847;0.006985363080915263;0.0019928830009803967;0.9566504715755689;0.042706726936618866;0.018214372942641072;17.0;0.11111111111111112
346;[299, 347];0.9750377405535212;0.02423796083592117;0.01865237445991839;0.9546444483376649;0.04329880445251284;0.01229964855042659;16.0;0.044444444444444446;0.9945365970462874;0.0052087589155301985;0.0032627165458991698;0.8457678298424841;0.15263918322465844;0.0880556302831988;18.0;0.13333333333333333;0.9887106155839619;0.010656995656582655;0.006036203632701134;0.9245387872348441;0.07224132745313476;0.011479671980398148;17.0;0.11111111111111112
347;[300, 348];0.9647371422027494;0.034330223710291555;0.027911216043748625;0.9546444483376649;0.04329880445251284;0.01229964855042659;16.0;0.044444444444444446;0.9974080573395325;0.0025306220531242205;0.0010454147536013956;0.9187754171820363;0.07821885334427378;0.016084957055044678;18.0;0.13333333333333333;0.9849398013527273;0.014609963076501678;0.004777693993600914;0.9245387872348441;0.07224132745313476;0.03266882166011696;17.0;0.11111111111111112
348;[301, 349];0.9725947309701068;0.02702620853017901;0.0217581262336133;0.8340423126232713;0.16301782493737926;0.15653271213497486;16.0;0.044444444444444446;0.9958874779910087;0.003992321765726094;0.0027280898611403586;0.9187754171820363;0.07821885334427378;0.016084957055044678;18.0;0.13333333333333333;0.9849398013527273;0.014609963076501678;0.004777693993600914;0.9566504715755689;0.042706726936618866;0.011479671980398148;17.0;0.11111111111111112
349;[302, 350];0.9656642397714295;0.03305038255206965;0.02998490640805068;0.7432160025735691;0.20124359370427453;0.2136103845556526;16.0;0.044444444444444446;0.9958874779910087;0.003992321765726094;0.0027280898611403586;0.9187754171820363;0.07821885334427378;0.016084957055044678;18.0;0.13333333333333333;0.9890265758888503;0.010969013845507756;0.005750939621050373;0.9566504715755689;0.042706726936618866;0.011479671980398148;17.0;0.11111111111111112
350;[303, 351];0.9718780635860783;0.026475525427930018;0.02234170145601984;0.8549016232917147;0.14756223630584805;0.1348737569320316;16.0;0.044444444444444446;0.9974080573395325;0.0025306220531239763;0.002452211873099565;0.9187754171820363;0.07821885334427378;0.016084957055044678;18.0;0.13333333333333333;0.9890265758888503;0.010969013845507756;0.003398555072898749;0.9566504715755689;0.042706726936618866;0.011479671980398148;17.0;0.11111111111111112
351;[304, 352];0.9729825733224303;0.025633339016465775;0.02170177633592731;0.8549016232917147;0.14756223630584805;0.1348737569320316;16.0;0.044444444444444446;0.9974080573395325;0.0025306220531242205;0.0010454147536013956;0.9187754171820363;0.07821885334427378;0.016084957055044678;18.0;0.13333333333333333;0.9890265758888503;0.010969013845507756;0.005750939621050373;0.944007477192058;0.05302369343549271;0.028595479208968308;17.0;0.11111111111111112
352;[305, 353];0.9718780635860783;0.026475525427930018;0.02234170145601984;0.8549016232917147;0.14756223630584805;0.1348737569320316;16.0;0.044444444444444446;0.9974080573395325;0.0025306220531239763;0.002452211873099565;0.8616051493362595;0.14525605675646372;0.1454033483779259;18.0;0.13333333333333333;0.9927973901200847;0.006985363080915749;0.0055489605160888526;0.96929346595908;0.032098294201678645;0.021230629976529643;17.0;0.11111111111111112
353;[306, 354];0.9681072493548438;0.030298163644184896;0.026879154634355765;0.9337851376692218;0.06368767510851177;0.07328076498314284;16.0;0.022222222222222223;0.9974080573395324;0.002530622053123976;0.002814934187276027;0.8315004452668298;0.1670684297965183;0.1898224537553657;18.0;0.1111111111111111;0.9875059965403264;0.012405372984442633;0.009804821182327386;0.96929346595908;0.032098294201678645;0.021230629976529643;17.0;0.11111111111111112
354;[307, 355];0.9681072493548438;0.030298163644184896;0.026879154634355765;0.9329350879565487;0.06252685030320915;0.05089270770427419;15.0;0.0;0.9956688504133301;0.004317087184806331;0.0032875665865834004;0.8798570461711475;0.1095418085549028;0.1267415028125263;18.0;0.1111111111111111;0.9890265758888503;0.010969013845507756;0.005750939621050373;0.96929346595908;0.032098294201678645;0.021230629976529643;17.0;0.11111111111111112
355;[308, 356];0.9556898978094481;0.0417627540582131;0.03500781719668281;0.9329350879565487;0.06252685030320915;0.05089270770427419;15.0;0.0;0.9927973901200847;0.006985363080915749;0.0055489605160888526;0.8798570461711475;0.1095418085549028;0.1267415028125263;18.0;0.1111111111111111;0.9875059965403264;0.012405372984442633;0.009804821182327386;0.96929346595908;0.032098294201678645;0.021230629976529643;17.0;0.11111111111111112
